area_sqft,bedrooms,bathrooms,location,parking,house_age,price
1107,3,2,Rural,1,2,48.69
1404,2,1,Suburb,1,15,43.03
1870,5,5,Downtown,1,24,91.83
1448,2,2,City Center,1,23,65.62
715,3,3,City Center,0,28,30.04
1848,2,2,Downtown,1,39,56.15
1056,2,1,Rural,1,25,36.94
2132,3,3,Downtown,1,37,63.23
1156,3,3,Suburb,1,34,44.46
2885,2,1,Suburb,1,22,87.66
1252,2,2,City Center,0,3,81.0
1575,3,3,Downtown,1,13,95.85
2369,4,3,City Center,0,38,84.57
938,4,3,Rural,0,6,51.46
1959,1,1,Suburb,1,7,71.12
2715,2,2,Industrial Area,1,18,77.47
675,2,2,Industrial Area,0,1,31.7
1929,1,1,Downtown,1,0,94.67
1982,3,3,Downtown,1,37,60.17
2347,3,3,Industrial Area,1,12,82.5
934,2,1,Downtown,1,23,53.91
876,2,2,Suburb,1,31,33.14
2165,1,1,Rural,0,29,43.13
2008,4,4,Rural,1,5,65.31
1975,5,5,City Center,0,37,86.3
2043,2,2,Suburb,1,32,42.74
1324,2,1,Downtown,1,22,51.81
1963,4,4,Downtown,1,9,125.8
2005,4,4,City Center,0,14,117.59
1300,3,2,City Center,0,22,68.09
3106,1,1,Downtown,1,35,90.93
2132,1,1,Downtown,1,0,113.77
966,3,3,Suburb,1,7,54.56
2260,2,2,City Center,0,2,129.59
1118,1,1,Suburb,1,13,42.37
2351,3,2,Downtown,0,16,94.14
2611,1,1,Industrial Area,0,33,47.37
1226,4,4,Industrial Area,1,5,65.28
2474,2,1,Downtown,1,4,121.29
2089,1,1,City Center,0,40,59.08
2375,3,2,Industrial Area,0,39,51.97
3128,2,2,City Center,1,28,120.58
1628,5,5,Industrial Area,0,34,49.85
1272,3,2,City Center,1,17,68.11
1177,2,2,Industrial Area,1,39,31.23
1229,3,3,City Center,0,29,53.82
1746,2,2,Suburb,0,14,61.77
2039,4,4,City Center,1,14,118.73
1994,2,1,Suburb,1,15,75.17
2379,3,2,Suburb,1,32,76.06
1809,1,1,Downtown,1,9,83.88
2817,3,3,Suburb,1,18,95.9
1615,4,4,Rural,1,36,45.57
3704,4,4,Suburb,1,2,160.77
2238,2,1,City Center,0,35,72.32
1200,2,1,Suburb,1,3,58.29
1050,4,3,City Center,1,10,98.77
2138,5,5,City Center,1,40,87.47
1644,1,1,Rural,1,32,28.57
2300,3,3,Suburb,1,27,76.53
2131,2,2,Suburb,1,31,70.83
1749,4,4,Industrial Area,0,15,64.51
1207,1,1,Industrial Area,0,8,27.27
740,2,2,Downtown,1,10,54.23
1487,4,4,City Center,0,5,106.24
2399,1,1,Rural,0,26,49.24
1950,3,2,Industrial Area,1,11,59.73
928,3,3,Suburb,1,21,36.07
1921,2,1,Downtown,1,39,56.48
2070,2,1,Rural,0,36,45.47
1181,3,3,Suburb,0,20,39.88
1908,2,1,Suburb,0,32,45.33
1841,3,3,City Center,1,16,95.95
1000,4,4,City Center,0,28,63.49
2050,4,3,Industrial Area,1,39,49.64
2193,2,1,Industrial Area,0,9,57.43
2558,2,2,Suburb,1,17,92.86
2538,2,2,Suburb,1,12,79.44
836,2,2,Industrial Area,0,26,35.31
1144,3,3,Industrial Area,1,9,59.71
2161,3,3,Suburb,1,31,65.57
2160,1,1,Rural,1,40,41.29
2161,1,1,Suburb,1,2,82.61
4497,2,1,Rural,1,21,87.04
2200,3,3,Rural,1,26,55.3
2595,2,2,Suburb,1,2,96.17
2468,3,3,Downtown,1,32,88.48
2256,2,1,Industrial Area,0,1,67.44
1579,4,4,City Center,1,10,118.75
2331,4,4,Suburb,1,9,104.92
1259,2,2,Rural,1,38,30.6
1634,2,1,Suburb,1,32,46.86
1460,3,3,Industrial Area,1,6,73.27
1857,2,1,Rural,1,14,57.0
3420,3,2,City Center,1,25,150.86
493,4,3,City Center,1,10,57.66
2280,3,2,City Center,1,37,78.03
671,4,4,Downtown,0,26,33.27
1470,2,2,Rural,0,38,24.94
2562,2,1,Rural,1,6,73.27
1845,3,3,Downtown,1,0,119.43
1046,2,2,Rural,0,9,31.4
1299,3,2,Downtown,0,20,67.07
2276,2,2,Suburb,1,14,85.1
1289,1,1,Industrial Area,1,29,28.7
1952,5,5,City Center,1,29,96.9
1832,2,2,Downtown,1,7,97.62
1344,5,4,Downtown,1,23,81.24
3301,5,5,Downtown,0,18,147.84
2244,4,4,Suburb,1,2,107.9
400,3,3,Downtown,1,14,36.76
1931,3,2,Industrial Area,1,35,49.12
1337,4,3,Industrial Area,1,5,67.44
2397,2,2,City Center,0,17,109.79
1245,3,2,Suburb,1,37,42.15
1720,3,3,Industrial Area,0,18,55.5
2153,3,2,Rural,1,29,58.41
2406,3,3,Rural,1,12,63.78
960,2,1,Rural,1,38,22.21
1566,3,3,Downtown,1,11,96.37
1468,4,4,Downtown,0,33,71.72
1343,2,2,Rural,1,11,48.49
3036,5,4,City Center,1,23,142.18
2083,3,3,City Center,0,3,118.99
917,4,3,Downtown,1,35,47.01
2443,3,3,Rural,1,13,73.52
3286,4,4,City Center,0,16,169.47
2523,1,1,Downtown,1,2,116.27
736,4,3,Rural,1,37,28.37
1461,1,1,Suburb,1,22,29.72
2687,4,3,Rural,1,12,76.36
1305,5,4,Rural,0,8,60.31
2111,2,1,Industrial Area,0,20,47.27
2342,2,2,Industrial Area,1,40,40.38
1151,4,3,Suburb,1,7,63.05
1758,2,1,Suburb,1,16,63.21
400,4,4,Rural,0,15,21.39
1083,2,1,City Center,1,15,63.34
1623,2,2,Suburb,0,27,44.92
927,5,5,Rural,0,15,51.01
2943,3,3,Downtown,1,13,135.73
799,4,4,Industrial Area,1,37,30.48
1492,2,2,City Center,0,19,73.66
1892,3,3,Rural,0,40,34.02
2809,3,2,Downtown,1,33,97.89
795,3,3,Industrial Area,1,28,37.5
2614,3,3,Downtown,1,2,143.51
1807,3,3,Rural,0,9,59.08
1113,3,3,Suburb,1,19,45.6
2123,2,1,Industrial Area,1,1,78.91
1939,4,4,Downtown,1,26,91.54
1380,2,1,Suburb,0,31,34.85
1849,3,3,City Center,1,9,117.94
1530,2,1,Rural,1,39,32.58
1879,3,3,Rural,0,16,60.79
2263,3,3,Industrial Area,1,32,57.78
2910,2,1,Downtown,1,5,145.07
934,1,1,City Center,1,38,46.4
3293,2,1,Industrial Area,0,17,77.88
434,3,2,Industrial Area,0,8,34.19
1694,4,4,Downtown,0,7,98.86
2212,1,1,City Center,1,24,84.67
1997,3,3,Downtown,0,30,74.58
1364,2,1,Rural,1,3,42.9
1654,3,2,Suburb,1,19,57.88
1455,4,4,Rural,1,27,43.75
1387,2,2,Rural,0,39,24.13
2395,3,3,Industrial Area,1,0,89.73
2050,1,1,Rural,1,39,28.65
1315,1,1,City Center,0,22,63.29
2430,2,2,Rural,1,12,59.74
2015,1,1,City Center,1,15,93.68
2369,3,3,Downtown,1,25,104.33
2241,3,3,Industrial Area,1,30,62.0
1220,3,2,City Center,0,0,89.21
1408,2,1,Rural,1,16,36.37
2323,2,2,Industrial Area,1,15,69.51
2227,3,3,Industrial Area,0,36,41.19
1785,5,5,City Center,1,9,131.58
1882,1,1,City Center,0,37,54.68
2694,4,3,Suburb,1,30,78.21
1386,3,3,Suburb,1,9,62.57
2183,3,2,Industrial Area,1,33,41.12
1658,3,2,Suburb,0,5,79.12
1648,1,1,Rural,1,27,41.46
2569,1,1,Downtown,0,27,87.12
2378,3,3,Industrial Area,1,12,82.08
2369,2,1,Downtown,1,40,69.93
2714,4,3,Suburb,1,11,104.16
1815,3,3,City Center,0,39,62.96
2277,2,1,Industrial Area,1,1,88.64
1583,3,3,Suburb,1,7,85.27
2027,2,1,Rural,1,8,58.1
1709,3,3,Industrial Area,1,7,67.78
1868,3,3,Industrial Area,1,2,81.06
2217,4,3,City Center,1,8,140.15
1227,4,4,Industrial Area,1,12,58.23
3265,3,3,City Center,0,8,171.83
1096,3,3,Suburb,1,30,36.42
950,5,5,Rural,0,24,36.44
2611,2,2,Rural,1,7,75.08
2354,1,1,Industrial Area,1,30,35.47
2237,2,2,Industrial Area,1,30,53.28
2240,2,2,Suburb,0,16,87.47
1791,3,2,City Center,1,18,93.63
1172,3,3,Rural,0,2,47.05
1853,3,3,City Center,1,29,79.84
1326,1,1,Suburb,0,9,40.2
2483,3,2,Rural,1,28,53.36
1697,2,1,Rural,0,39,32.95
1222,3,2,Downtown,0,17,61.57
1575,3,3,Suburb,0,11,64.2
2089,2,1,Suburb,1,22,67.77
1405,2,2,Downtown,1,10,78.37
1224,1,1,City Center,1,8,71.74
1971,4,4,Downtown,0,23,98.11
1971,4,3,Suburb,1,24,77.46
1445,3,2,City Center,1,24,84.52
1470,2,1,Rural,1,8,39.04
1962,3,3,Downtown,1,11,110.94
786,3,3,City Center,0,10,72.78
815,4,3,City Center,1,37,38.64
1297,2,1,City Center,1,27,59.2
1651,1,1,Downtown,0,7,71.35
2018,3,2,Rural,1,9,63.42
2833,2,1,City Center,1,24,121.86
2400,2,2,Downtown,0,35,63.5
1688,1,1,Suburb,1,8,64.61
1787,3,3,Downtown,1,40,59.49
1098,4,4,Downtown,1,7,93.8
1787,5,5,Downtown,1,2,133.87
1598,3,3,City Center,1,17,92.94
2026,3,2,Downtown,1,34,67.09
1221,1,1,Suburb,1,16,59.7
2164,3,2,City Center,0,35,78.89
2873,2,1,Suburb,1,27,68.8
1724,3,2,Industrial Area,1,14,54.79
2081,2,2,Downtown,1,18,94.12
2283,2,1,City Center,1,21,96.66
1519,1,1,City Center,1,5,82.52
1957,2,2,Downtown,0,6,103.16
1809,1,1,Rural,0,8,52.67
1868,2,2,Rural,0,19,42.75
1259,5,4,Suburb,1,36,54.61
1817,3,3,Downtown,1,10,97.48
2149,3,2,Downtown,1,1,134.56
2816,4,4,Industrial Area,1,21,87.45
2471,5,5,Rural,1,35,58.15
3307,3,2,Rural,1,4,96.95
1263,4,3,Downtown,1,6,87.07
2411,2,2,Suburb,1,5,81.93
1928,2,2,Downtown,1,21,80.73
3333,3,3,Suburb,1,9,125.59
1234,3,3,Rural,1,39,18.52
1212,3,2,Industrial Area,1,19,48.91
1380,2,1,City Center,0,27,55.98
400,2,2,Rural,0,22,23.66
1432,3,2,Suburb,1,34,39.61
1269,2,2,Downtown,1,0,89.24
1905,3,3,Rural,0,28,41.64
2039,3,3,Industrial Area,0,8,71.09
3113,3,2,Suburb,0,8,114.36
2465,4,4,Downtown,1,21,114.75
1396,4,4,City Center,0,1,112.49
1171,3,3,Suburb,0,15,40.09
2144,3,3,Downtown,0,39,66.81
876,3,2,City Center,0,5,66.54
3082,2,2,Downtown,1,12,125.16
2626,1,1,City Center,0,32,88.43
1472,2,1,City Center,1,18,69.92
601,3,2,City Center,1,14,60.23
2748,3,2,Downtown,1,32,94.02
1720,4,4,City Center,0,9,110.34
2666,2,2,Suburb,0,0,111.36
684,2,2,Industrial Area,0,11,38.79
1380,5,5,Industrial Area,0,28,49.03
1804,2,1,City Center,1,16,98.82
1833,3,3,Industrial Area,0,3,69.35
1485,3,3,Industrial Area,0,28,47.62
2236,3,3,City Center,1,6,135.68
1053,1,1,City Center,1,12,70.27
1700,1,1,Suburb,0,4,68.34
1884,2,2,Rural,0,5,59.44
2160,3,3,Downtown,0,33,59.5
2298,3,3,City Center,1,6,143.34
1013,2,2,City Center,1,27,45.74
726,3,3,Industrial Area,1,9,42.85
2694,4,3,Suburb,1,3,127.32
2033,1,1,Industrial Area,1,2,72.26
1276,3,2,City Center,0,24,69.59
2886,3,2,City Center,1,22,126.77
1881,2,1,Industrial Area,1,26,38.65
2626,2,1,City Center,1,13,123.28
1847,3,3,Rural,1,37,36.54
3243,4,4,Downtown,1,31,117.57
3029,4,4,Downtown,1,22,138.7
1626,3,2,Downtown,0,39,57.5
2480,3,2,Rural,1,36,60.51
2252,2,1,City Center,0,2,117.06
2758,3,3,Industrial Area,1,34,68.66
1125,3,2,Suburb,0,12,55.14
2280,2,2,City Center,1,33,83.52
2541,3,3,Rural,1,23,57.26
569,3,3,Rural,1,0,32.87
972,2,2,Downtown,1,11,55.9
400,4,4,City Center,1,7,75.94
1611,1,1,Downtown,1,18,72.76
2302,2,2,Suburb,0,8,89.35
2852,1,1,Downtown,1,27,95.22
1852,4,3,Suburb,0,13,75.07
2940,3,2,Rural,0,26,64.54
834,2,2,Downtown,0,17,45.41
608,3,2,Downtown,1,40,32.06
1761,2,1,Industrial Area,1,5,64.26
2069,4,4,Rural,0,32,41.02
1777,3,3,Industrial Area,1,36,44.73
400,3,3,Suburb,1,24,29.46
1738,5,5,Suburb,1,12,83.9
887,2,1,Rural,1,22,30.57
2269,2,1,Suburb,0,35,62.3
2057,3,3,Rural,1,32,53.66
1142,5,4,Suburb,0,20,55.0
1440,2,1,City Center,1,33,61.14
1059,1,1,Downtown,1,35,41.38
1756,2,2,City Center,1,16,93.06
2469,3,2,Rural,0,9,70.15
1110,2,2,Rural,0,22,31.81
2153,3,3,City Center,0,1,150.52
1429,5,5,Downtown,1,34,72.06
1245,3,3,Downtown,0,13,63.43
1725,2,1,Industrial Area,1,40,29.46
1075,3,3,Suburb,0,1,58.0
1412,2,2,Industrial Area,1,18,38.51
961,4,4,Downtown,0,15,66.46
3175,3,2,City Center,0,24,142.69
1825,2,2,Suburb,1,0,79.25
1310,3,2,City Center,1,1,91.91
1950,3,3,Industrial Area,1,26,54.42
1721,3,3,Rural,0,1,60.69
1645,1,1,City Center,1,29,57.77
2230,4,4,Industrial Area,1,9,77.96
2330,5,5,Industrial Area,0,18,87.21
1429,3,3,Industrial Area,1,15,57.05
1397,5,4,Rural,1,12,54.77
1607,2,1,Rural,0,7,39.54
400,3,3,Rural,1,30,17.53
739,3,3,Suburb,1,24,30.88
2757,3,2,Rural,0,38,43.92
2951,3,3,Rural,1,20,86.54
1626,2,2,Rural,0,37,31.25
2204,2,1,City Center,1,40,68.5
2018,2,1,Rural,1,28,47.41
3955,2,2,Suburb,0,5,134.14
2584,3,3,Industrial Area,0,17,72.92
1710,2,2,City Center,0,34,50.79
1131,1,1,Downtown,1,26,52.87
675,3,3,Rural,1,4,36.18
1942,3,3,Industrial Area,0,6,65.78
1271,4,4,Industrial Area,0,9,60.63
804,3,3,City Center,0,9,58.24
1347,2,1,Downtown,0,27,44.37
1043,4,3,Suburb,1,35,37.54
2981,3,2,Industrial Area,1,9,89.06
2417,1,1,Industrial Area,1,34,43.95
1794,3,3,Industrial Area,1,34,44.05
2836,4,4,Industrial Area,1,36,63.64
1854,2,2,City Center,1,19,83.91
1197,2,1,Downtown,1,12,62.44
2866,2,2,Industrial Area,1,10,91.96
2177,2,2,Suburb,0,18,74.18
1074,3,3,Suburb,0,27,37.38
1667,3,2,Rural,0,37,31.27
1187,1,1,Industrial Area,1,3,42.31
832,5,5,Industrial Area,1,36,26.99
2448,4,4,Industrial Area,1,18,76.73
3137,3,2,Industrial Area,1,36,68.62
821,4,4,Industrial Area,1,13,51.41
2194,1,1,Suburb,0,30,54.69
1345,3,2,Downtown,0,27,41.11
1459,3,3,Downtown,0,35,49.49
1385,4,3,Rural,0,37,34.53
1195,4,4,Suburb,1,18,70.57
1834,2,1,Industrial Area,1,0,68.03
1218,5,5,Downtown,1,22,81.53
1989,2,2,City Center,1,27,84.14
1765,4,4,City Center,1,3,124.44
1633,5,5,City Center,1,40,80.29
1165,2,1,Industrial Area,1,17,29.76
1396,3,3,Industrial Area,1,38,35.21
2329,1,1,Rural,1,24,50.11
2151,3,3,Rural,1,17,61.64
1116,3,2,Rural,1,5,37.49
1870,3,3,City Center,0,18,92.58
2326,5,5,Industrial Area,1,11,95.48
631,3,3,City Center,1,24,51.37
2180,3,2,Rural,0,34,38.06
1336,4,4,Industrial Area,1,0,63.55
2199,5,5,Suburb,0,4,112.64
1266,1,1,Downtown,0,0,65.02
537,5,4,Downtown,0,7,57.13
661,1,1,Rural,1,38,13.67
1834,4,4,City Center,1,17,107.03
1982,2,2,Suburb,1,8,80.99
1167,2,1,Industrial Area,1,4,54.08
2247,3,2,City Center,0,3,125.69
637,3,3,Rural,0,28,23.72
1754,2,2,City Center,0,0,107.53
952,1,1,Rural,1,29,9.54
1344,3,3,Downtown,1,0,100.18
1833,4,4,Downtown,0,2,129.41
1198,2,1,City Center,0,21,57.31
1531,2,2,Suburb,0,7,69.71
2504,3,2,Industrial Area,1,17,67.43
1396,1,1,Rural,0,24,25.4
2385,4,3,Industrial Area,0,19,72.21
1009,4,4,Downtown,1,30,53.01
2171,3,3,Suburb,1,29,66.62
2809,2,2,Suburb,1,15,100.63
400,4,4,Industrial Area,1,1,37.21
1242,3,3,Downtown,1,16,79.63
2204,4,3,Industrial Area,1,9,70.77
1658,3,2,City Center,1,6,104.55
2060,4,4,Suburb,0,8,89.87
1377,3,3,Suburb,1,16,55.15
1861,3,3,City Center,1,8,114.71
1691,5,5,Downtown,0,8,120.18
2617,3,3,Suburb,1,36,73.79
1978,3,2,Rural,0,23,52.28
2036,2,1,Rural,1,38,42.39
1512,3,2,Downtown,1,10,82.86
1459,3,3,City Center,0,7,87.73
1497,2,1,Industrial Area,1,24,36.74
2076,1,1,Downtown,1,1,101.33
1505,3,3,Industrial Area,1,9,57.08
2003,4,4,Downtown,1,23,100.03
3253,3,2,Rural,0,15,83.02
2410,2,2,City Center,1,18,113.16
1572,3,3,Rural,1,30,39.15
2641,1,1,City Center,0,10,128.03
1514,3,3,Industrial Area,1,5,56.5
400,2,2,Downtown,1,5,46.36
1094,2,1,Suburb,1,31,21.63
490,2,1,Suburb,0,38,12.59
1554,2,1,City Center,1,12,94.74
1813,1,1,City Center,1,2,105.04
2974,2,1,Rural,1,40,46.55
2029,3,3,Suburb,0,34,59.84
1647,3,3,Rural,1,37,39.25
2381,2,2,Industrial Area,1,16,73.28
400,4,4,Suburb,0,2,42.65
1965,2,2,Industrial Area,1,33,50.81
2340,3,3,Downtown,1,11,116.11
765,1,1,Rural,0,23,14.38
2601,1,1,City Center,0,5,139.18
2037,3,2,Suburb,1,10,79.87
1509,3,3,Rural,1,26,29.52
2243,4,3,City Center,0,23,113.65
3389,3,3,Downtown,0,17,148.88
1927,5,5,Suburb,1,26,73.83
1974,1,1,Industrial Area,1,40,24.89
1478,1,1,Downtown,0,20,55.89
1205,1,1,City Center,1,33,58.69
2381,2,1,Suburb,0,32,58.26
1201,3,3,Suburb,1,17,59.72
1850,3,2,Downtown,1,2,115.24
1466,1,1,Suburb,1,23,50.99
2135,5,5,City Center,0,0,169.91
2034,4,4,Downtown,1,5,133.49
2526,2,2,Industrial Area,1,18,70.66
1443,1,1,Downtown,1,21,52.56
1611,2,1,Downtown,1,7,87.35
1115,2,2,Industrial Area,0,4,42.26
1489,2,2,City Center,1,8,96.03
2064,3,2,Rural,1,20,49.88
2330,2,2,Rural,1,27,49.33
1154,2,2,Industrial Area,1,3,49.46
2409,5,5,City Center,1,23,124.24
2749,3,3,Suburb,0,7,106.49
2089,5,4,Industrial Area,1,16,82.06
3114,2,1,Rural,1,33,67.83
1258,2,2,City Center,1,19,65.36
929,3,3,Downtown,1,15,68.79
555,1,1,City Center,1,9,28.62
2847,1,1,City Center,0,33,89.29
2258,3,3,Rural,0,9,68.04
1761,3,2,Rural,0,29,44.45
1996,3,3,Suburb,1,29,59.44
1012,3,3,Suburb,0,24,42.5
3512,3,3,Industrial Area,0,40,73.42
1890,1,1,Downtown,1,6,84.67
1877,2,2,Suburb,1,19,53.15
2308,2,1,Rural,1,16,65.21
2137,1,1,City Center,1,2,112.43
1957,5,4,Industrial Area,1,39,53.29
1247,3,3,Suburb,0,35,49.7
2130,3,3,City Center,1,25,105.46
3117,2,2,City Center,1,9,154.39
2742,2,2,Suburb,1,33,59.56
2915,2,2,Downtown,1,13,124.4
1442,1,1,Downtown,1,7,73.56
1107,2,1,Industrial Area,1,26,30.96
1712,4,3,Downtown,0,9,106.66
1839,3,3,Industrial Area,1,14,68.66
2566,3,3,Rural,0,36,43.15
615,3,3,Suburb,1,21,42.13
2871,4,4,City Center,1,30,130.84
1689,1,1,Industrial Area,1,1,57.28
1501,2,1,Downtown,1,30,59.07
1092,2,2,Industrial Area,1,13,36.49
642,4,4,Industrial Area,0,9,39.73
2376,5,5,Downtown,0,29,94.58
1851,2,2,Downtown,1,35,69.47
897,4,3,Suburb,1,39,32.05
893,4,4,City Center,1,14,81.98
1565,2,2,Suburb,1,13,65.92
2968,2,1,Suburb,0,30,90.54
1618,3,3,Downtown,0,28,64.99
748,5,4,Downtown,0,26,49.61
1628,2,2,City Center,1,20,81.76
1609,4,4,Industrial Area,0,8,61.2
400,2,1,Suburb,0,19,17.18
1762,3,3,City Center,1,34,78.85
1638,3,3,Suburb,1,14,65.78
2287,3,3,Industrial Area,1,23,68.98
3094,4,4,Suburb,1,15,118.96
2589,4,3,Rural,1,35,54.79
1612,4,3,City Center,1,10,114.35
1025,1,1,Downtown,1,7,54.25
3601,3,2,Suburb,1,2,131.18
1841,2,2,City Center,0,18,87.28
1810,3,3,City Center,0,40,66.82
1783,3,3,Suburb,0,2,79.31
1939,3,3,Downtown,1,35,74.0
1699,3,3,Downtown,0,24,78.47
1398,5,4,Suburb,1,35,52.61
1417,2,2,City Center,0,10,80.25
1777,3,3,Downtown,1,15,100.7
1420,2,2,Suburb,1,16,49.08
1301,2,1,Suburb,1,23,42.58
1875,2,1,Suburb,1,16,71.31
1622,5,4,City Center,0,19,103.27
2853,4,4,Downtown,1,21,126.12
400,4,3,City Center,0,5,58.46
2564,5,5,Rural,1,6,89.18
2672,2,1,Downtown,1,13,117.76
400,2,2,City Center,0,10,40.82
1560,3,3,Downtown,1,11,98.47
1540,3,3,Rural,1,4,62.44
815,3,2,Industrial Area,1,4,51.52
1256,2,2,Suburb,1,19,40.14
1023,3,2,City Center,1,14,58.15
3027,3,3,Rural,1,25,56.55
2455,2,2,Rural,1,32,55.27
2690,3,3,Downtown,1,29,103.6
2305,3,3,Downtown,0,23,89.77
1010,3,3,Suburb,1,22,43.92
1433,2,2,Downtown,1,8,82.39
2143,3,2,City Center,0,2,124.6
945,1,1,City Center,0,35,27.93
2299,2,1,City Center,0,6,115.18
1632,4,4,Industrial Area,1,21,54.28
1538,3,2,City Center,1,13,93.59
2298,2,2,Downtown,1,28,93.82
2111,3,3,Downtown,1,15,99.18
1547,3,3,City Center,0,33,64.8
2612,4,4,Rural,0,9,83.82
1043,3,2,Rural,1,6,46.18
2231,3,3,Rural,1,24,53.29
2215,3,3,Suburb,0,26,71.17
1583,2,1,Industrial Area,1,14,53.18
2028,2,2,City Center,1,31,77.26
924,3,2,Suburb,1,27,30.26
2447,3,3,Rural,1,8,69.66
1671,3,2,City Center,1,6,113.01
1434,2,2,Suburb,0,15,60.99
